Testcase,Ignore,FMAX[-]_ref,FMAX[-]_cur,FMAX[-]_Ratio,FMAX[-]_Win/Loss,LUTs[-]_ref,LUTs[-]_cur,LUTs[-]_Ratio,LUTs[-]_Win/Loss,SLICES[-]_ref,SLICES[-]_cur,SLICES[-]_Ratio,REGISTERS[-]_ref,REGISTERS[-]_cur,REGISTERS[-]_Ratio,DSPs[-]_ref,DSPs[-]_cur,DSPs[-]_Ratio,RAMB18[-]_ref,RAMB18[-]_cur,RAMB18[-]_Ratio,DIST_RAM[-]_ref,DIST_RAM[-]_cur,DIST_RAM[-]_Ratio
design_42(IBUS_SWITCH)rtl/cae/altera/design_42/benchmark_psp, ,461.89,458.92,0.99,-,5811,5807,1,-,986,1048,1.06,3073,3074,1,0,0,1,0,0,1,0,0,1
oc_aquarius(oc_aquarius)rtl/cae/nda_altera/oc_aquarius/benchmark_psp, ,147.57,147.57,1,-,3517,3517,1,-,563,563,1,1402,1402,1,2,2,1,32,32,1,16,16,1
igt_float_cordic.v3(float_point_cordic_processor)rtl/AboundLogic/igt/igt_float_cordic.v3/benchmark_psp, ,196.15,199.08,1.01,-,72616,72622,1,-,14873,14610,0.98,94586,94586,1,84,84,1,0,0,1,0,0,1
fordon(rc4)rtl/cae/cust/top_layer_net/fordon/benchmark_psp, ,236.51,256.34,1.08,W,5992,5991,1,-,943,940,1,2459,2460,1,0,0,1,0,0,1,0,0,1
igt_noc_5.v3(noc_5_nodes_1_router)rtl/AboundLogic/igt/igt_noc_5.v3/benchmark_psp, ,452.69,452.28,1,-,27409,27429,1,-,5932,6095,1.03,42618,42618,1,0,0,1,0,0,1,40,40,1
modu(modu_top)rtl/cae/cust/alcatel_fpro/modu/benchmark_psp, ,166.38,168.54,1.01,-,4225,4229,1,-,1260,1287,1.02,3013,3013,1,46,46,1,62,62,1,0,0,1
igt_reedsolom_32.v3(reed_solomon_parallel_32_byte_repair)rtl/AboundLogic/igt/igt_reedsolom_32.v3/benchmark_psp, ,286.53,280.11,0.98,-,94360,94375,1,-,19111,19073,1,125512,125512,1,211,211,1,0,0,1,568,568,1
oc_des_des3perf_30(oc_des_des3perf_30)rtl/nbe/altera/altera_stamp_designs/oc_des_des3perf_30/benchmark_psp, ,593.47,625,1.05,W,163158,163361,1,-,32012,32926,1.03,273150,273150,1,0,0,1,0,0,1,0,0,1
compare_sr10(compare_SR10)rtl/cae/cust/altera/compare_sr10/benchmark_psp, ,144.92,144.92,1,-,4003,4003,1,-,1369,1369,1,6538,6538,1,453,453,1,0,0,1,0,0,1
arc4(arc4)rtl/cae/cust/sosi/arc4/benchmark_psp, ,141.3,141.3,1,-,12763,12763,1,-,2191,2191,1,3136,3136,1,0,0,1,0,0,1,0,0,1
image_reconstruction(image_reconstruction)rtl/nbe/mathworks/image_processing/image_reconstruction/benchmark_psp, ,256.27,256.27,1,-,1339,1339,1,-,407,407,1,3887,3887,1,33,33,1,2,2,1,0,0,1
musbmhdrc(musbmhdrc)rtl/cae/altera/musbmhdrc/benchmark_psp, ,384.02,384.02,1,-,3930,3930,1,-,724,724,1,2353,2353,1,0,0,1,0,0,1,0,0,1
igt_noc_6.v3(noc_6_nodes_3_router)rtl/AboundLogic/igt/igt_noc_6.v3/benchmark_psp, ,512.03,497.26,0.97,-,33083,33087,1,-,7181,7209,1,51502,51503,1,0,0,1,0,0,1,48,48,1
igt_noc_3.v3(noc_3_nodes_1_router)rtl/AboundLogic/igt/igt_noc_3.v3/benchmark_psp, ,522.73,515.46,0.99,-,16185,16156,1,-,3627,3636,1,25649,25648,1,0,0,1,0,0,1,24,24,1
oc_des_des3perf(oc_des_des3perf)rtl/cae/nda_altera/oc_des_des3perf/benchmark_psp, ,809.06,809.06,1,-,5515,5515,1,-,996,996,1,6120,6120,1,0,0,1,0,0,1,0,0,1
tsoda_nopad(tsoda_nopad)rtl/cae/xilinx/tsoda_nopad/benchmark_psp, ,588.92,580.72,0.99,-,3901,3905,1,-,757,766,1.01,3172,3194,1.01,0,0,1,0,0,1,48,48,1
aes128_fast(aes128_fast)rtl/cae/xilinx/aes128_fast/benchmark_psp, ,283.04,290.78,1.03,-,2255,2228,0.99,-,387,379,0.98,659,659,1,0,0,1,8,8,1,0,0,1
bheap(main)rtl/cae/cust/sim/bheap/benchmark_psp, ,437.44,437.44,1,-,23851,23851,1,-,3820,3820,1,8196,8196,1,0,0,1,0,0,1,0,0,1
igt_fir_reg110.v3(fir_registered_110_stop_0_pass_4410_float64)rtl/AboundLogic/igt/igt_fir_reg110.v3/benchmark_psp, ,141.32,141.32,1,-,298166,298166,1,-,54634,54634,1,243709,243709,1,1104,1104,1,0,0,1,0,0,1
starfish(starfish)rtl/cae/cust/xbm/starfish/benchmark_psp, ,226.91,231.26,1.02,-,39270,39205,1,-,7194,7154,0.99,22119,22110,1,0,0,1,64,64,1,64,64,1
lms_eml_hardware(lms_eml_hardware)rtl/nbe/mathworks/signal_processing/lms_eml_hardware/benchmark_psp, ,53.55,53.55,1,-,2829,2829,1,-,753,753,1,1312,1312,1,81,81,1,0,0,1,0,0,1
rijndael128_pipe(RIJNDAEL_TOP_PIPE)rtl/cae/cust/nsa/rijndael128_pipe/benchmark_psp, ,98.95,98.95,1,-,26539,26539,1,-,4553,4553,1,3255,3255,1,0,0,1,0,0,1,0,0,1
